"N","Author","Year","Species","Genus","Family","F.H","Life.form","Sp.origin","Approach","Response","Phase1.m.ori","Phase1.m","Phase1.culti","Experimental.setting","SoilTp","Phase2.grow","Phase2.time","Source","rr","var","Latitude","Longitude","Latitude.abs","MAT","MAP","AI","group","hop_code","hop_score","provenance_confidence","decisive_basis","inherited_rule_id","coder_a_code","coder_b_code"
"1","Packer and Clay 2004","2004","Prunus serotina","Prunus","Rosaceae","Field","Woody","Native","Self-Sterilized","Aboveground","Field","Field","Community","Greenhouse","Inoculum","Alone","1.2","Figure 2 ","0.036701367","0.002084691","39.2","-86.5","39.2","11.55416679","1116","0.9198","Woody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"2","Reinhart et al. 2005a Ecography","2005","Acer platanoides","Acer","Sapindaceae","Field","Woody","Non-native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","15","Figure 5","0.372447339","0.027412232","46.9","-114","46.9","7.233333111","366","0.2802","Woody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"3","Reinhart et al. 2005a Ecography","2005","Populus trihocarpa","Populus","Salicaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","15","Figure 5","0.111917916","0.05734628","46.9","-114","46.9","7.233333111","366","0.2802","Woody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"4","Dickie et al. 2007","2007","Quercus ellipsoidalis","Quercus","Fagaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Community","Field","Whole soil","Competition","36","Table 1","0.03509132","0.025681108","45.4","-93.2","45.4","6.287499905","743","0.711","Woody Field","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field. Direct field conditioning and in-situ feedback response support H1; the experimental approach does not support H0.","RECON-H1-FIELD-CONDITIONING-FIELD-FEEDBACK","H1","H1"
"5","Nijjer et al. 2007","2007","Acer rubrum","Acer","Sapindaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","3","Figure 1b","0.080042708","0.030613083","30.5","-94.3","30.5","19.24166679","1384","0.8992","Woody Field","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"6","Nijjer et al. 2007","2007","Acer rubrum","Acer","Sapindaceae","Field","Woody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","3","Figure 1b","0.2135741","0.044076802","30.5","-94.3","30.5","19.24166679","1384","0.8992","Woody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"7","Nijjer et al. 2007","2007","Liquidambar styraciflua","Liquidambar","Altingiaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","3","Figure 1b","0","0.010330579","30.5","-94.3","30.5","19.24166679","1384","0.8992","Woody Field","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"8","Nijjer et al. 2007","2007","Liquidambar styraciflua","Liquidambar","Altingiaceae","Field","Woody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","3","Figure 1b","0.046520016","0.017334758","30.5","-94.3","30.5","19.24166679","1384","0.8992","Woody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"9","Nijjer et al. 2007","2007","Pinus taeda","Pinus","Pinaceae","Field","Woody","Native","Self-Other","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","3","Figure 1b","0.044451763","0.009627552","30.5","-94.3","30.5","19.24166679","1384","0.8992","Woody Field","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
"10","Nijjer et al. 2007","2007","Pinus taeda","Pinus","Pinaceae","Field","Woody","Native","Self-Sterilized","Aboveground","Field","Field","Monoculture","Greenhouse","Inoculum","Competition","3","Figure 1b","0.044451763","0.012210197","30.5","-94.3","30.5","19.24166679","1384","0.8992","Woody Field","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse. Direct field conditioning followed by greenhouse feedback establishes relocation to a controlled setting (H2).","RECON-H2-FIELD-CONDITIONING-GREENHOUSE-FEEDBACK","H2","H2"
