"omitted_study","estimate","se","ci_low","ci_high","statistic","df","p_value","tau2"
"Ai et al. 2018||2018","-0.0009730410345997188","0.09312535487479978","-0.18554446686662573","0.1835983847974263","-0.010448722970322113","109","0.9916823770912541","0.20519193726620272"
"Bajpai et al. 2013||2013","0.011600618078370163","0.09193554697890942","-0.1706126471849694","0.1938138833417097","0.12618207493812394","109","0.899820258185907","0.19024950561848075"
"Bakker,2013||2013","-0.003227517287768328","0.09314608623609108","-0.18784003200389168","0.18138499742835504","-0.034650057970098264","109","0.9724221593033908","0.2054394471469216"
"Bayandala et al. 2016||2016","-0.03454255547319142","0.08992698648690568","-0.21277491914021046","0.1436898081938276","-0.38411779180681405","109","0.7016394562557285","0.20055433729541386"
"Beckstead and Parker 2003||2003","0.014109606090200292","0.09146831938158896","-0.16717762926494242","0.195396841445343","0.15425675453090612","109","0.877692547835927","0.1845218745082475"
"Belnap et al. 2005||2005","0.0002826723718433374","0.09305265229385819","-0.1841446593083365","0.1847100040520232","0.0030377680256836142","109","0.9975817682455518","0.20451712637743963"
"Bennett et al. 2017||2017","-0.004902987007864182","0.09312570779919103","-0.18947511232456002","0.17966913830883166","-0.05264912475550358","109","0.9581078449185637","0.20514969374671985"
"Blank and Sforza 2007||2007","-0.008838398455704326","0.09293165726369403","-0.19302592191967913","0.17534912500827046","-0.09510643322140837","109","0.9244049118500274","0.20271863749559263"
"Bodelier et al. 2006||2006","0.0033400678986628403","0.09291645439870673","-0.1808173239811563","0.18749745977848198","0.03594700120960846","109","0.971390367952404","0.20260213711806774"
"Bonanomi et al. 2005 PE||2005","0.004677132936185002","0.09280353705461782","-0.1792564604386225","0.1886107263109925","0.050398218479887916","109","0.9598972949145764","0.20122125193546586"
"Callaway et al. 2004b Nature||2004","0.0009096763970159302","0.09306104902581866","-0.1835342973329296","0.18535365012696145","0.0097750498897079","109","0.9922186313639638","0.20439940462715137"
"Callaway,2013||2013","0.0018547189863945194","0.09300064707481785","-0.18246954004035076","0.18617897801313982","0.019943076147657567","109","0.984125243114249","0.2037303074599525"
"Casper and Castelli 2007||2007","-0.04256170921848504","0.08667191289883944","-0.2143426228572569","0.1292192044202868","-0.49106691885480414","109","0.6243663895259676","0.19799447848795795"
"Chen et al. 2018||2018","0.000691206010207351","0.09307027853137519","-0.18377106029969756","0.18515347232011228","0.007426710450579951","109","0.9940879724334597","0.20451610917082072"
"Chung,2019||2019","-0.0033261675661591717","0.0958922705003097","-0.19338153021478974","0.1867291950824714","-0.034686503393914624","109","0.9723931642700725","0.2054478327118415"
"Coughlin et al. 2021||2021","0.0006722473413423131","0.09306251094618888","-0.1837746238672496","0.1851191185499342","0.007223610608691008","109","0.9942496470401785","0.20447524640683207"
"De Deyn et al. 2004a||2004","0.006607368930818874","0.09261636512906773","-0.176955255772557","0.19016999363419473","0.0713412680535564","109","0.9432568856373592","0.1988443804322164"
