"model","estimate","se","ci_low","ci_high","statistic","df","p_value","tau2","effect_units","source_clusters"
"primary_effect_level_h1","-0.04287236516947216","0.03823310900358734","-0.11864141322076416","0.03289668288181983","-1.121341326582924","110.0","0.2645845786393231","0.3637751464520877","1523","111"
"primary_effect_level_h2","-0.048149426003988444","0.08387763033319953","-0.21437520174585642","0.11807634973787953","-0.57404370882579","110.0","0.5671101845467416","0.3637751464520877","1523","111"
"primary_effect_level_h2_minus_h1","-0.005277060834516279","0.0923980397195177","-0.18838828808774438","0.1778341664187118","-0.05711225963814013","110.0","0.954559385494709","0.3637751464520877","1523","111"
"primary_effect_level_h2_minus_h1_cr2","-0.005277060834516304","0.09893073855519108","-0.21807650103066772","0.2075223793616351","-0.05334096269353492","13.582112944751803","0.9582368576963439","0.3637751464520877","1523","111"
"source_category_aggregated_h1","-0.05351624878257533","0.07720522404916026","-0.2065188814024524","0.09948638383730174","-0.6931687517479255","110.0","0.4896646455326367","0.20342293371275263","114","111"
"source_category_aggregated_h2","-0.0563298836200225","0.0507213791128159","-0.1568477518076751","0.044187984567630095","-1.1105747636461543","110.0","0.26917315987462814","0.20342293371275263","114","111"
"source_category_aggregated_h2_minus_h1","-0.002813634837447166","0.09280373025764581","-0.18672884551442717","0.18110157583953282","-0.030318122231033483","110.0","0.9758682838602657","0.20342293371275263","114","111"
"source_category_aggregated_h2_minus_h1_cr2","-0.002813634837447142","0.0935716151643834","-0.19309954978897778","0.18747228011408348","-0.030069319980255176","33.40183992148762","0.9761907220594017","0.20342293371275263","114","111"
"equal_source_weight_h2_minus_h1","0.023424258828386023","0.09517573715149338","-0.1651917127597997","0.21204023041657177","0.2461158644991748","110.0","0.8060512043327117","0.0","114","111"
"paired_source_h2_minus_h1","0.24475858627773078","0.18609752330599924","-0.555954430374441","1.0454716029299025","1.3152167848858227","2.0","0.31898786550413627","0.09897059509311995","3","3"
