"study_id","Author","Year","hop_code","h2","effect_rows","fixed_effect_mean_rr","fixed_effect_variance","unweighted_mean_rr","mean_absolute_rr","min_rr","max_rr"
"Ai et al. 2018||2018","Ai et al. 2018","2018","H2","1","6","-0.2150454510679655","0.0007666449467344051","-0.14808505933333332","0.7317441036666668","-1.320506621","1.038556722"
"Bajpai et al. 2013||2013","Bajpai et al. 2013","2013","H2","1","4","-1.3293314589488026","0.008988487508341879","-0.9760077724999999","0.9760077724999999","-1.785283961","-0.544004022"
"Bakker,2013||2013","Bakker,2013","2013","H2","1","12","-0.02222626700421809","0.0010747664904793678","-0.021469166750000004","0.09192933391666668","-0.317072379","0.134774401"
"Bayandala et al. 2016||2016","Bayandala et al. 2016","2016","H1","0","4","-0.7983430216387526","0.021855543141581002","-0.72584378075","0.7544229877499999","-1.728389855","0.057158414"
"Beckstead and Parker 2003||2003","Beckstead and Parker 2003","2003","H2","1","2","-1.6459156085427136","0.021610769886240496","-1.65677366","1.65677366","-1.708644563","-1.604902757"
"Belnap et al. 2005||2005","Belnap et al. 2005","2005","H2","1","2","-0.3537235440373092","0.02498162964126509","-0.160748165","0.285538938","-0.446287103","0.124790773"
"Bennett et al. 2017||2017","Bennett et al. 2017","2017","H2","1","55","0.12073396003224574","0.0001236963628468489","0.11700603036363637","0.3631000402545455","-0.659699246","0.955511445"
"Blank and Sforza 2007||2007","Blank and Sforza 2007","2007","H2","1","4","0.4811336270602648","0.009199342369469924","0.28550459699999997","0.979661786","-1.373715579","1.538563573"
"Bodelier et al. 2006||2006","Bodelier et al. 2006","2006","H2","1","6","-0.5935385471100908","0.005129497961088411","-0.9891306676666668","0.9891306676666668","-1.954278399","-0.310900363"
"Bonanomi et al. 2005 PE||2005","Bonanomi et al. 2005 PE","2005","H2","1","1","-0.724895879","0.009996098","-0.724895879","0.724895879","-0.724895879","-0.724895879"
"Callaway et al. 2004b Nature||2004","Callaway et al. 2004b Nature","2004","H2","1","4","-0.37766539150664163","0.0020898193961629164","-0.47426037625","0.47426037625","-1.011600912","-0.253988227"
"Callaway,2013||2013","Callaway,2013","2013","H2","1","3","-0.47633058178397103","0.011081287245205839","-0.3766137583333333","0.46441755366666665","-0.644187702","0.131705693"
"Casper and Castelli 2007||2007","Casper and Castelli 2007","2007","H1","0","6","-0.919959977999575","0.006557456336661195","-0.6849681313333332","0.6849681313333332","-1.32175584","-0.080042708"
"Chen et al. 2018||2018","Chen et al. 2018","2018","H2","1","4","-0.3589780165946034","0.002118837949809099","0.006944697249999965","0.5195795437499999","-0.638925626","0.701996796"
"Chung,2019||2019","Chung,2019","2019","H1","0","4","-0.06403932071726728","0.0008974702503062459","-0.09278355399999999","0.12014840049999999","-0.273346288","0.054729693"
"Coughlin et al. 2021||2021","Coughlin et al. 2021","2021","H2","1","18","-0.3652502782283403","0.007503086101306473","-0.5119541584444444","0.5201463041111111","-1.064981492","0.073729311"
"De Deyn et al. 2004a||2004","De Deyn et al. 2004a","2004","H2","1","13","-0.8940189835181109","0.009547248866580453","-0.5337130104615385","1.4372914023076926","-2.47730205","3.504054767"
"Dickie et al. 2007||2007","Dickie et al. 2007","2007","H1","0","1","0.03509132","0.025681108","0.03509132","0.03509132","0.03509132","0.03509132"
"Domínguez-Begines et al. 2021||2021","Domínguez-Begines et al. 2021","2021","H2","1","2","-0.0879717199178439","0.007803460000690654","-0.0006261740000000002","0.111851809","-0.112477983","0.111225635"
"Ehlers and Thompson 2004||2004","Ehlers and Thompson 2004","2004","H1","0","1","-0.207639365","0.000727615","-0.207639365","0.207639365","-0.207639365","-0.207639365"
"Gao 2012||2012","Gao 2012","2012","H2","1","20","-0.07325112130205125","6.0397877656263825e-05","-0.1282920852","0.2663950489","-0.658978285","0.320258243"
"Gillespie and Allen 2006||2006","Gillespie and Allen 2006","2006","H2","1","3","-0.1766365094268787","0.005779134652034786","-0.14127141533333334","0.26281912","-0.405465108","0.182321557"
"Gomez-Aparicio et al. 2017||2017","Gomez-Aparicio et al. 2017","2017","H2","1","8","0.08649517794874381","0.00389275315212717","0.07889178962499999","0.319043521875","-0.353809156","1.176273098"
"Gundale et al. 2014||2014","Gundale et al. 2014","2014","H2","1","2","0.10047452938398865","0.00621342080593938","0.08873395299999999","0.283879773","-0.19514582","0.372613726"
