"N","Author","Year","Phase1.m.ori","Phase1.m","Experimental.setting","rr","var","hop_code","hop_score","provenance_confidence","decisive_basis","inherited_rule_id","coder"
"1","Packer and Clay 2004","2004","Field","Field","Greenhouse","0.036701367","0.002084691","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"2","Reinhart et al. 2005a Ecography","2005","Field","Field","Field","0.372447339","0.027412232","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"3","Reinhart et al. 2005a Ecography","2005","Field","Field","Field","0.111917916","0.05734628","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"4","Dickie et al. 2007","2007","Field","Field","Field","0.03509132","0.025681108","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"5","Nijjer et al. 2007","2007","Field","Field","Greenhouse","0.080042708","0.030613083","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"6","Nijjer et al. 2007","2007","Field","Field","Greenhouse","0.2135741","0.044076802","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"7","Nijjer et al. 2007","2007","Field","Field","Greenhouse","0","0.010330579","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"8","Nijjer et al. 2007","2007","Field","Field","Greenhouse","0.046520016","0.017334758","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"9","Nijjer et al. 2007","2007","Field","Field","Greenhouse","0.044451763","0.009627552","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"10","Nijjer et al. 2007","2007","Field","Field","Greenhouse","0.044451763","0.012210197","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"11","Nijjer et al. 2007","2007","Field","Field","Greenhouse","0.058268908","0.004803987","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"12","Nijjer et al. 2007","2007","Field","Field","Greenhouse","0.163629424","0.011105222","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"13","Nijjer et al. 2007","2007","Field","Field","Greenhouse","-0.486532931","0.45257398","H2","2","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"14","Nijjer et al. 2007","2007","Field","Field","Greenhouse","-0.382992252","0.477502296","H2","2","high","Approach=Self-Sterilized; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Greenhouse.","B-H2-002","coder-b"
"15","Mangan et al. 2010","2010","Field","Field","Field","-0.007788201","0.057650351","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"16","Mangan et al. 2010","2010","Field","Field","Field","-0.067636727","0.033815865","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"17","Mangan et al. 2010","2010","Field","Field","Field","-0.080343378","0.031201596","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"18","Mangan et al. 2010","2010","Field","Field","Field","-0.135302587","0.007458131","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"19","Mangan et al. 2010","2010","Field","Field","Field","-0.097139873","0.005145345","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"20","Mangan et al. 2010","2010","Field","Field","Field","-0.09552992","0.005381965","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"21","Mangan et al. 2010","2010","Field","Field","Field","-0.062622908","0.005453298","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"22","Mangan et al. 2010","2010","Field","Field","Field","-0.334213666","0.018020297","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"23","Mangan et al. 2010","2010","Field","Field","Field","-0.381752657","0.017955571","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"24","Mangan et al. 2010","2010","Field","Field","Field","-0.258083789","0.019150499","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"25","Mangan et al. 2010","2010","Field","Field","Field","-0.359777614","0.017965464","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"26","Mangan et al. 2010","2010","Field","Field","Field","-0.533643389","0.020011712","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"27","Mangan et al. 2010","2010","Field","Field","Field","-0.468205299","0.021178257","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"28","Mangan et al. 2010","2010","Field","Field","Field","-0.38177815","0.022071652","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"29","Mangan et al. 2010","2010","Field","Field","Field","0.056168446","0.076161407","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"30","Mangan et al. 2010","2010","Field","Field","Field","0.613975906","0.019421345","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"31","Mangan et al. 2010","2010","Field","Field","Field","0.040846399","0.009491279","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"32","Mangan et al. 2010","2010","Field","Field","Field","-0.064453102","0.014945425","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"33","Mangan et al. 2010","2010","Field","Field","Field","-0.035104784","0.009815004","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"34","Yelenik,2011","2011","Field","Field","Field","-0.115198073","0.46500268","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"35","Yelenik,2011","2011","Field","Field","Field","-0.449323424","0.389472891","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
"36","Yelenik,2011","2011","Field","Field","Field","-1.078809661","0.249182968","H1","1","high","Approach=Self-Other; F.H=Field; Phase1.m.ori=Field; Phase1.m=Field; Experimental.setting=Field.","B-H1-001","coder-b"
