"Author","Year","source_values"
"Bever 1994","1994","Figure 3a"
"Holah and Alexander 1999","1999","Figure 1b | Figure 1d"
"Peltzer 2001","2001","Figure 2"
"Troelstra et al. 2001","2001","Author"
"Klironomos 2002","2002","Author"
"Van der Stoel et al. 2002","2002","Figure 2"
"Beckstead and Parker 2003","2003","Figure 2"
"Reinhart et al. 2003","2003","Figure 2b"
"Callaway et al. 2004b Nature","2004","Figure 1 | Figure 2"
"De Deyn et al. 2004a","2004","Author"
"Ehlers and Thompson 2004","2004","Figure 3b"
"Gustafson and Casper 2004","2004","Figure 1 | Figure 2 | Figure 3 | Figure 4 | Figure 5"
"Knevel et al. 2004","2004","Figure 2"
"Packer and Clay 2004","2004","Figure 2"
"Reinhart and Callaway 2004","2004","Figure 2"
"Suding et al. 2004","2004","Figure 2"
"Agrawal et al. 2005","2005","Author"
"Belnap et al. 2005","2005","Figure 2"
"Bonanomi and Mazzoleni 2005 CE","2005","Figure 2 | Figure 3"
"Bonanomi et al. 2005 PE","2005","Figure 5"
"Reinhart et al. 2005a Ecography","2005","Figure 5"
"Bezemer et al. 2006a Ecology","2006","Figure 4"
"Bezemer et al. 2006b JE","2006","Figure 1"
"Bodelier et al. 2006","2006","Figure 4a"
"Gillespie and Allen 2006","2006","Figure 2a"
"Kardol et al. 2006","2006","Figure 1"
"Kulmatiski et al. 2006","2006","Figure 1"
"Meiman et al. 2006","2006","Author"
"Morris et al. 2006","2006","Table 3, Text"
"Puerta-Pinero et al. 2006","2006","Table 2"
"Suguenza et al. 2006","2006","Figure 1a | Figure 1b"
"Blank and Sforza 2007","2007","Author"
"Casper and Castelli 2007","2007","Figure 1"
"Dickie et al. 2007","2007","Table 1"
"Kardol et al. 2007","2007","Author"
"Nijjer et al. 2007","2007","Figure 1b"
"Niu et al 2007","2007","Figure 4"
"Van der Putten et al. 2007","2007","Figure 1"
"VanGrunsven et al. 2007","2007","Author"
"van Grunsven et al. 2007","2007","Author"
"van der Putten et al. 2007","2007","Figure 1"
"Batten et al. 2008","2008","Figure 4"
"Casper,2008","2008","Figure 2"
"Jordan et al. 2008","2008","Figure 1 | Figure 2 | Figure 3"
"Kulmatiski, unpubl. Data","2008","Author"
"Manning,2008","2008","Xi et al. 2021"
"Petermann et al. 2008","2008","Authors"
"Markham,2009","2009","Xi et al. 2021"
"Fitzsimons et al. 2010","2010","Figure 1"
"Harrison,2010","2010","Xi et al. 2021"
"Jiang, 2010","2010","Xi et al. 2021"
"Kueffer 2010","2010","Figure 1"
"Mangan et al. 2010","2010","Crowford2019"
"de la Pena et al. 2010","2010","Figure 1a | Figure 2a | Figure 3a"
"van Grunsven,2010a","2010","Xi et al. 2021"
"Dostal,2011","2011","Figure 2 | Xi et al. 2021"
"Kulmatiski et al. 2011 JE","2011","Table 2"
"Kulmatiski et al. 2011 SBB","2011","Figure 4"
"Li et al. 2011 SAS","2011","Figure 1"
"Li et al. 2011 SASB","2011","Figure 4"
"Meijer et al. 2011","2011","Apendix A"
"Morrien et al. 2011","2011","Figure A1"
"Wagner et al. 2011","2011","Figure S1"
"Yelenik,2011","2011","Xi et al. 2021"
"van de Voorde,2011","2011","Xi et al. 2021"
"Gao 2012","2012","Figure 3.9"
"Perkins and Nowak,2012","2012","Figure 2"
"Reinhart 2012 Ecology","2012","Figure 1"
"Reinhart et al. 2012","2012","Figure 1"
"Schradin,2012","2012","Figure 1 | Figure 2 | Xi et al. 2021"
"Shannon et al. 2012","2012","Figure 3"
"Smith,2012","2012","Xi et al. 2021"
"Bajpai et al. 2013","2013","Figure 1A"
"Bakker,2013","2013","Xi et al. 2021"
"Callaway,2013","2013","Figure 2 | Figure 3 | Xi et al. 2021"
"Hawkes,2013","2013","Xi et al. 2021"
"Hendriks,2013","2013","Figure 3 | Xi et al. 2021"
"Li et al. 2013","2013","Figure 1 | Figure 2"
"Pendergast IV et al. 2013","2013","Figure S1 | Xi et al. 2021"
"Perkins and Nowak,2013","2013","Crowford2019"
